Match_Number,Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,2,8,6,Mayank Markande,Yashasvi Jaiswal,Vaibhav Sooryavanshi,0,0,,,,,70,0
1,2,9,1,T Natarajan,Vaibhav Sooryavanshi,Yashasvi Jaiswal,4,0,,,,,74,0
1,2,9,2,T Natarajan,Vaibhav Sooryavanshi,Yashasvi Jaiswal,0,0,,,,,74,0
1,2,9,3,T Natarajan,Vaibhav Sooryavanshi,Yashasvi Jaiswal,3,0,,,,,77,0
1,2,9,4,T Natarajan,Yashasvi Jaiswal,Vaibhav Sooryavanshi,6,0,,,,,83,0
1,2,9,5,T Natarajan,Yashasvi Jaiswal,Vaibhav Sooryavanshi,0,0,,,,,83,0
1,2,9,6,T Natarajan,Yashasvi Jaiswal,Vaibhav Sooryavanshi,0,0,,caught,Yashasvi Jaiswal,Abhishek Sharma,83,1
1,2,10,1,Pat Cummins,Vaibhav Sooryavanshi,Sanju Samson,0,0,,,,,83,1
1,2,10,2,Pat Cummins,Vaibhav Sooryavanshi,Sanju Samson,0,0,,,,,83,1
1,2,10,3,Pat Cummins,Vaibhav Sooryavanshi,Sanju Samson,1,0,,,,,84,1
1,2,10,4,Pat Cummins,Sanju Samson,Vaibhav Sooryavanshi,0,0,,,,,84,1
1,2,10,5,Pat Cummins,Sanju Samson,Vaibhav Sooryavanshi,0,0,,,,,84,1
1,2,10,6,Pat Cummins,Sanju Samson,Vaibhav Sooryavanshi,2,0,,,,,86,1
1,2,11,1,Nitish Reddy,Vaibhav Sooryavanshi,Sanju Samson,3,0,,,,,89,1
1,2,11,2,Nitish Reddy,Sanju Samson,Vaibhav Sooryavanshi,0,0,,,,,89,1
1,2,11,3,Nitish Reddy,Sanju Samson,Vaibhav Sooryavanshi,0,1,wide,,,,90,1
1,2,11,3,Nitish Reddy,Sanju Samson,Vaibhav Sooryavanshi,1,0,,,,,91,1
1,2,11,4,Nitish Reddy,Vaibhav Sooryavanshi,Sanju Samson,2,0,,,,,93,1
1,2,11,5,Nitish Reddy,Vaibhav Sooryavanshi,Sanju Samson,0,0,,,,,93,1
1,2,11,6,Nitish Reddy,Vaibhav Sooryavanshi,Sanju Samson,2,0,,,,,95,1
1,2,12,1,Pat Cummins,Sanju Samson,Vaibhav Sooryavanshi,0,0,,,,,95,1
1,2,12,2,Pat Cummins,Sanju Samson,Vaibhav Sooryavanshi,4,0,,,,,99,1
1,2,12,3,Pat Cummins,Sanju Samson,Vaibhav Sooryavanshi,1,0,,,,,100,1
1,2,12,4,Pat Cummins,Vaibhav Sooryavanshi,Sanju Samson,0,0,,,,,100,1
1,2,12,5,Pat Cummins,Vaibhav Sooryavanshi,Sanju Samson,0,0,,,,,100,1
1,2,12,6,Pat Cummins,Vaibhav Sooryavanshi,Sanju Samson,3,0,,,,,103,1
1,2,13,1,Nitish Reddy,Vaibhav Sooryavanshi,Sanju Samson,0,0,,,,,103,1
1,2,13,2,Nitish Reddy,Vaibhav Sooryavanshi,Sanju Samson,0,0,,bowled,Vaibhav Sooryavanshi,Abhishek Sharma,103,2
1,2,13,3,Nitish Reddy,Riyan Parag,Sanju Samson,0,0,,,,,103,2
1,2,13,4,Nitish Reddy,Riyan Parag,Sanju Samson,0,0,,bowled,Riyan Parag,Pat Cummins,103,3
1,2,13,5,Nitish Reddy,Shimron Hetmyer,Sanju Samson,0,0,,lbw,Shimron Hetmyer,Abdul Samad,103,4
1,2,13,6,Nitish Reddy,Dhruv Jurel,Sanju Samson,4,0,,,,,107,4
1,2,14,1,Shahbaz Ahmed,Sanju Samson,Dhruv Jurel,4,0,,,,,111,4
1,2,14,2,Shahbaz Ahmed,Sanju Samson,Dhruv Jurel,0,0,,,,,111,4
1,2,14,3,Shahbaz Ahmed,Sanju Samson,Dhruv Jurel,0,0,,,,,111,4
1,2,14,4,Shahbaz Ahmed,Sanju Samson,Dhruv Jurel,0,0,,,,,111,4
1,2,14,5,Shahbaz Ahmed,Sanju Samson,Dhruv Jurel,0,0,,,,,111,4
1,2,14,6,Shahbaz Ahmed,Sanju Samson,Dhruv Jurel,0,0,,run out,Sanju Samson,Abdul Samad,111,5
1,2,15,1,Pat Cummins,Dhruv Jurel,Ravichandran Ashwin,0,0,,,,,111,5
1,2,15,2,Pat Cummins,Dhruv Jurel,Ravichandran Ashwin,0,0,,,,,111,5
1,2,15,3,Pat Cummins,Dhruv Jurel,Ravichandran Ashwin,0,0,,,,,111,5
1,2,15,4,Pat Cummins,Dhruv Jurel,Ravichandran Ashwin,0,1,legbye,,,,112,5
1,2,15,5,Pat Cummins,Dhruv Jurel,Ravichandran Ashwin,6,0,,,,,118,5
1,2,15,6,Pat Cummins,Dhruv Jurel,Ravichandran Ashwin,0,0,,,,,118,5
1,2,16,1,Nitish Reddy,Ravichandran Ashwin,Dhruv Jurel,2,0,,,,,120,5
1,2,16,2,Nitish Reddy,Ravichandran Ashwin,Dhruv Jurel,1,0,,,,,121,5
1,2,16,3,Nitish Reddy,Dhruv Jurel,Ravichandran Ashwin,1,0,,,,,122,5
1,2,16,4,Nitish Reddy,Ravichandran Ashwin,Dhruv Jurel,1,0,,,,,123,5
1,2,16,5,Nitish Reddy,Dhruv Jurel,Ravichandran Ashwin,0,1,wide,,,,124,5
1,2,16,5,Nitish Reddy,Dhruv Jurel,Ravichandran Ashwin,0,0,,caught,Dhruv Jurel,Pat Cummins,124,6
1,2,17,1,T Natarajan,Ravichandran Ashwin,Dhruv Jurel,0,0,,lbw,Ravichandran Ashwin,Pat Cummins,124,7
1,2,18,1,Jaydev Unadkat,Dhruv Jurel,Ravichandran Ashwin,0,0,,,,,124,7
1,2,18,2,Jaydev Unadkat,Dhruv Jurel,Ravichandran Ashwin,2,0,,,,,126,7
1,2,18,3,Jaydev Unadkat,Dhruv Jurel,Ravichandran Ashwin,1,0,,,,,127,7
1,2,18,4,Jaydev Unadkat,Ravichandran Ashwin,Dhruv Jurel,0,0,,,,,127,7
1,2,18,5,Jaydev Unadkat,Ravichandran Ashwin,Dhruv Jurel,0,0,,,,,127,7
1,2,18,6,Jaydev Unadkat,Ravichandran Ashwin,Dhruv Jurel,1,0,,,,,128,7
1,2,19,1,Jaydev Unadkat,Ravichandran Ashwin,Dhruv Jurel,0,0,,,,,128,7
1,2,19,2,Jaydev Unadkat,Ravichandran Ashwin,Dhruv Jurel,0,0,,,,,128,7
1,2,19,3,Jaydev Unadkat,Ravichandran Ashwin,Dhruv Jurel,0,0,,,,,128,7
1,2,19,4,Jaydev Unadkat,Ravichandran Ashwin,Dhruv Jurel,1,0,,,,,129,7
1,2,19,5,Jaydev Unadkat,Dhruv Jurel,Ravichandran Ashwin,2,0,,,,,131,7
1,2,19,6,Jaydev Unadkat,Dhruv Jurel,Ravichandran Ashwin,4,0,,,,,135,7
2,1,0,1,Venkatesh Iyer,KL Rahul,Quinton de Kock,3,0,,,,,3,0
2,1,0,2,Venkatesh Iyer,Quinton de Kock,KL Rahul,0,0,,caught,Quinton de Kock,Dinesh Karthik,3,1
2,1,0,3,Venkatesh Iyer,Nicholas Pooran,KL Rahul,0,0,,,,,3,1
2,1,0,4,Venkatesh Iyer,Nicholas Pooran,KL Rahul,2,0,,,,,5,1
2,1,0,5,Venkatesh Iyer,Nicholas Pooran,KL Rahul,1,0,,,,,6,1
2,1,0,6,Venkatesh Iyer,KL Rahul,Nicholas Pooran,2,0,,,,,8,1
2,1,1,1,Rasikh Salam,Nicholas Pooran,KL Rahul,4,0,,,,,12,1
2,1,1,2,Rasikh Salam,Nicholas Pooran,KL Rahul,0,1,bye,,,,13,1
2,1,1,3,Rasikh Salam,Nicholas Pooran,KL Rahul,0,1,noball,,,,14,1
2,1,1,3,Rasikh Salam,Nicholas Pooran,KL Rahul,2,0,,,,,16,1
2,1,1,4,Rasikh Salam,Nicholas Pooran,KL Rahul,0,0,,,,,16,1
2,1,1,5,Rasikh Salam,Nicholas Pooran,KL Rahul,1,0,,,,,17,1
2,1,1,6,Rasikh Salam,KL Rahul,Nicholas Pooran,0,1,legbye,,,,18,1
2,1,2,1,Venkatesh Iyer,Nicholas Pooran,KL Rahul,0,1,noball,,,,19,1
2,1,2,1,Venkatesh Iyer,Nicholas Pooran,KL Rahul,0,0,,,,,19,1
2,1,2,2,Venkatesh Iyer,Nicholas Pooran,KL Rahul,2,0,,,,,21,1
2,1,2,3,Venkatesh Iyer,Nicholas Pooran,KL Rahul,4,0,,,,,25,1
2,1,2,4,Venkatesh Iyer,Nicholas Pooran,KL Rahul,2,0,,,,,27,1
2,1,2,5,Venkatesh Iyer,Nicholas Pooran,KL Rahul,4,0,,,,,31,1
2,1,2,6,Venkatesh Iyer,Nicholas Pooran,KL Rahul,1,0,,,,,32,1
2,1,3,1,Krunal Pandya,Nicholas Pooran,KL Rahul,2,0,,,,,34,1
2,1,3,2,Krunal Pandya,Nicholas Pooran,KL Rahul,0,1,wide,,,,35,1
2,1,3,2,Krunal Pandya,Nicholas Pooran,KL Rahul,0,0,,,,,35,1
2,1,3,3,Krunal Pandya,Nicholas Pooran,KL Rahul,0,0,,,,,35,1
2,1,3,4,Krunal Pandya,Nicholas Pooran,KL Rahul,0,0,,,,,35,1
2,1,3,5,Krunal Pandya,Nicholas Pooran,KL Rahul,0,0,,stumped,Nicholas Pooran,Devdutt Padikkal,35,2
2,1,3,6,Krunal Pandya,Marcus Stoinis,KL Rahul,1,0,,,,,36,2
2,1,4,1,Krunal Pandya,Marcus Stoinis,KL Rahul,6,0,,,,,42,2
2,1,4,2,Krunal Pandya,Marcus Stoinis,KL Rahul,0,0,,,,,42,2
2,1,4,3,Krunal Pandya,Marcus Stoinis,KL Rahul,0,0,,,,,42,2
2,1,4,4,Krunal Pandya,Marcus Stoinis,KL Rahul,2,0,,,,,44,2
2,1,4,5,Krunal Pandya,Marcus Stoinis,KL Rahul,4,0,,,,,48,2
2,1,4,6,Krunal Pandya,Marcus Stoinis,KL Rahul,0,0,,,,,48,2
2,1,5,1,Venkatesh Iyer,KL Rahul,Marcus Stoinis,0,0,,caught,KL Rahul,Tim David,48,3
2,1,5,2,Venkatesh Iyer,Ayush Badoni,Marcus Stoinis,0,0,,,,,48,3
2,1,5,3,Venkatesh Iyer,Ayush Badoni,Marcus Stoinis,6,0,,,,,54,3
2,1,5,4,Venkatesh Iyer,Ayush Badoni,Marcus Stoinis,1,0,,,,,55,3
2,1,5,5,Venkatesh Iyer,Marcus Stoinis,Ayush Badoni,0,0,,,,,55,3
